Person,Timestamp,Queuelength
1,0.0,1
1,0.0,0
2,1310.733765625896,1
2,1310.733765625896,0
3,3617.2889929753487,1
3,3617.2889929753487,0
4,3660.218636189018,1
4,3694.9260880703205,0
5,4411.093887073586,1
5,4411.093887073586,0
6,4601.79336413848,1
6,4601.79336413848,0
7,4674.536174560362,1
7,4700.803127229342,0
8,6990.540274673023,1
8,6990.540274673023,0
9,7081.790219783082,1
9,7081.790219783082,0
10,8427.349264198609,1
10,8427.349264198609,0
11,8635.911637259815,1
11,8635.911637259815,0
12,9293.510143691155,1
12,9293.510143691155,0
13,10877.880384010423,1
13,10877.880384010423,0
14,11185.642791523234,1
14,11185.642791523234,0
15,11522.833840007987,1
15,11522.833840007987,0
16,12252.897957561601,1
16,12252.897957561601,0
17,12796.530496101275,1
17,12796.530496101275,0
18,14711.500918748694,1
18,14711.500918748694,0
19,16135.130183064819,1
19,16135.130183064819,0
20,17557.961675401588,1
20,17557.961675401588,0
21,18337.73243487861,1
21,18337.73243487861,0
22,19729.902521432843,1
22,19729.902521432843,0
23,20627.721156266434,1
23,20627.721156266434,0
24,21429.965943238647,1
24,21429.965943238647,0
25,22388.91247133468,1
25,22388.91247133468,0
26,22921.934605581566,1
26,22921.934605581566,0
27,23121.214622650434,1
27,23122.648117273136,0
28,23635.451080703388,1
28,23635.451080703388,0
29,24511.40039609227,1
29,24511.40039609227,0
30,28194.01129919027,1
30,28194.01129919027,0
31,29199.13311388734,1
31,29199.13311388734,0
32,29858.000193529428,1
32,29858.000193529428,0
33,31183.718272454327,1
33,31183.718272454327,0
34,32531.898369857183,1
34,32531.898369857183,0
35,34342.16268213911,1
35,34342.16268213911,0
36,35328.22370015112,1
36,35328.22370015112,0
37,36739.83702314504,1
37,36739.83702314504,0
38,39653.76133135986,1
38,39653.76133135986,0
39,41037.23742445611,1
39,41037.23742445611,0
40,41460.687671074375,1
40,41460.687671074375,0
41,41843.157041540624,1
41,41843.157041540624,0
42,43150.77596006298,1
42,43150.77596006298,0
43,43308.261633031274,1
43,43308.261633031274,0
44,43860.33631242798,1
44,43860.33631242798,0
45,44299.35492214455,1
45,44299.35492214455,0
46,45074.9570816554,1
46,45074.9570816554,0
47,45630.43743971766,1
47,45630.43743971766,0
48,46388.42985881871,1
48,46388.42985881871,0
49,47577.41981445897,1
49,47577.41981445897,0
50,48586.5543572404,1
50,48586.5543572404,0
51,48795.48627081055,1
51,48795.48627081055,0
52,49406.29891504434,1
52,49406.29891504434,0
53,50624.978277602546,1
53,50624.978277602546,0
54,51943.66953275534,1
54,51943.66953275534,0
55,52003.499695686165,1
55,52032.953962097396,0
56,52415.524939616385,1
56,52415.524939616385,0
57,56096.50656000507,1
57,56096.50656000507,0
58,56736.29417011438,1
58,56736.29417011438,0
59,57462.90861677096,1
59,57462.90861677096,0
60,58663.41446467245,1
60,58663.41446467245,0
61,59848.05614579129,1
61,59848.05614579129,0
62,61217.336548888816,1
62,61217.336548888816,0
63,62837.598585498636,1
63,62837.598585498636,0
64,64469.732745272515,1
64,64469.732745272515,0
65,64768.651376737886,1
65,64831.46567743932,0
66,64867.27377746841,1
66,64867.27377746841,0
67,65420.91113779214,1
67,65420.91113779214,0
68,67066.8833667046,1
68,67066.8833667046,0
69,68116.69022355774,1
69,68116.69022355774,0
70,68268.90934231928,1
70,68268.90934231928,0
71,68293.76842432044,1
71,68293.76842432044,0
72,69058.0746115374,1
72,69058.0746115374,0
73,69478.74213286377,1
73,69478.74213286377,0
74,70457.71182866048,1
74,70457.71182866048,0
75,72331.33525297456,1
75,72331.33525297456,0
76,72491.53593544109,1
76,72571.51634582432,0
77,72695.73528318024,1
77,72756.32376696168,0
78,73695.23824453936,1
78,73695.23824453936,0
79,75122.31962215704,1
79,75122.31962215704,0
80,75193.3846372289,1
80,75193.3846372289,0
81,75829.0432041503,1
81,75829.0432041503,0
82,76774.1883483495,1
82,76774.1883483495,0
83,77823.44842604302,1
83,77823.44842604302,0
84,79145.01085761875,1
84,79145.01085761875,0
85,81664.10663778851,1
85,81664.10663778851,0
86,82997.25152163787,1
86,82997.25152163787,0
87,83237.84021704394,1
87,83237.84021704394,0
88,83296.84041517158,1
88,83331.52393559075,0
89,84149.24293812837,1
89,84149.24293812837,0
90,85948.40851112816,1
90,85948.40851112816,0
91,86140.20563903975,1
91,86140.20563903975,0
92,86488.50171321904,1
92,86488.50171321904,0
93,86783.9339308096,1
93,86783.9339308096,0
94,87467.21218492834,1
94,87467.21218492834,0
95,88095.16845716063,1
95,88095.16845716063,0
96,88653.66485918335,1
96,88653.66485918335,0
97,93139.95005991521,1
97,93139.95005991521,0
98,94916.5891809733,1
98,94916.5891809733,0
99,94972.71894032187,1
99,94972.71894032187,0
100,95013.78221951102,1
100,95013.78221951102,0
101,95354.20536923531,1
101,95354.20536923531,0
102,96482.8530616744,1
102,96482.8530616744,0
103,96516.35753924673,1
103,96516.35753924673,0
104,97476.20438958453,1
104,97476.20438958453,0
105,97547.7088399831,1
105,98258.2495078043,0
106,99170.9910379857,1
106,99170.9910379857,0
107,99898.8525740325,1
107,99898.8525740325,0
108,100742.40202554458,1
